Ano,Tecnologia,Adoção_Percentual,Investimento_Milhoes
2018,Inteligência Artificial (IA),7.61,107.03
2018,Blockchain,2.94,43.25
2018,Internet das Coisas (IoT),10.74,103.71
2018,5G,1.21,60.1
2019,Inteligência Artificial (IA),13.91,152.01
2019,Blockchain,7.03,83.19
2019,Internet das Coisas (IoT),17.06,145.47
2019,5G,7.91,114.73
2020,Inteligência Artificial (IA),23.63,205.82
2020,Blockchain,10.12,117.84
2020,Internet das Coisas (IoT),20.21,180.23
2020,5G,14.63,161.79
2021,Inteligência Artificial (IA),32.18,255.43
2021,Blockchain,14.78,162.24
2021,Internet das Coisas (IoT),29.56,233.15
2021,5G,22.09,207.25
2022,Inteligência Artificial (IA),40.09,307.78
2022,Blockchain,18.84,196.48
2022,Internet das Coisas (IoT),33.91,278.51
2022,5G,28.76,252.3
2023,Inteligência Artificial (IA),48.06,360.27
2023,Blockchain,22.61,235.85
2023,Internet das Coisas (IoT),40.42,320.08
2023,5G,36.21,304.75
2024,Inteligência Artificial (IA),54.77,408.82
2024,Blockchain,26.79,271.74
2024,Internet das Coisas (IoT),44.41,365.1
2024,5G,43.08,350.15
2025,Inteligência Artificial (IA),62.91,458.12
2025,Blockchain,31.25,308.97
2025,Internet das Coisas (IoT),51.04,407.96
2025,5G,50.77,399.71
