Ano,Tecnologia,Adoção_Percentual,Investimento_Milhoes
2018,Inteligência Artificial (IA),6.49,97.23
2018,Blockchain,3.3,72.85
2018,Internet das Coisas (IoT),9.41,115.79
2018,5G,4.16,95.35
2019,Inteligência Artificial (IA),11.59,160.85
2019,Blockchain,6.07,73.01
2019,Internet das Coisas (IoT),16.6,125.56
2019,5G,4.55,113.75
2020,Inteligência Artificial (IA),17.96,206.28
2020,Blockchain,10.18,88.82
2020,Internet das Coisas (IoT),25.66,195.94
2020,5G,15.14,141.51
2021,Inteligência Artificial (IA),27.37,252.22
2021,Blockchain,14.7,145.64
2021,Internet das Coisas (IoT),26.5,234.75
2021,5G,20.8,252.05
2022,Inteligência Artificial (IA),36.96,278.85
2022,Blockchain,23.65,151.69
2022,Internet das Coisas (IoT),34.52,244.73
2022,5G,26.34,263.94
2023,Inteligência Artificial (IA),47.22,353.43
2023,Blockchain,26.77,195.48
2023,Internet das Coisas (IoT),36.3,307.04
2023,5G,35.08,326.14
2024,Inteligência Artificial (IA),54.03,364.74
2024,Blockchain,32.65,224.22
2024,Internet das Coisas (IoT),44.31,371.01
2024,5G,45.06,368.63
2025,Inteligência Artificial (IA),58.48,443.82
2025,Blockchain,37.66,274.63
2025,Internet das Coisas (IoT),50.8,396.66
2025,5G,47.79,371.08
